-67.66109291	-30.21554535	456
>		457
-67.4056975	-30.21783485	458
-67.25222227	-30.20355808	459
>		460
-67.62910548	-30.17686964	461
-67.5341884	-30.25352676	462
>		463
-66.62856554	-30.52841399	464
-66.52679059	-30.17442548	465
>		466
-66.52679059	-30.17442548	467
-66.2526107	-30.61169513	468
>		469
-69.11654508	-30.17321199	470
-69.20294292	-30.64153599	471
>		472
-66.52862818	-30.17149484	473
-66.52679059	-30.17442548	474
>		475
-66.52679059	-30.17442548	476
-66.52562401	-30.17036795	477
>		478
-69.87178296	-30.15289197	479
-69.84301999	-30.53831768	480
>		481
-67.25222227	-30.20355808	482
-67.20225359	-30.10718991	483
>		484
-67.71555923	-30.04937018	485
-67.66109291	-30.21554535	486
>		487
-71.48282508	-30.68682102	488
-71.40258	-30.03774399	489
>		490
-70.94953938	-30.03171736	491
-70.97401188	-30.67437204	492
>		493
-69.87178296	-30.15289197	494
-69.84154188	-30.00658896	495
>		496
-67.60914142	-29.97156063	497
-67.62910548	-30.17686964	498
>		499
-68.34192704	-29.96472647	500
-68.35685024	-30.22343468	501
>		502
-70.441812	-29.934009	503
-70.94953938	-30.03171736	504
>		505
-70.23766104	-30.22859403	506
-70.441812	-29.934009	507
>		508
-68.27473257	-29.92087929	509
-68.16765682	-30.24686545	510
>		511
-68.02205744	-29.87278181	512
-67.71555923	-30.04937018	513
>		514
-70.441812	-29.934009	515
-70.16483412	-29.87036397	516
>		517
-70.16483412	-29.87036397	518
-70.23766104	-30.22859403	519
>		520
-66.97449973	-29.8673487	521
-67.07709394	-29.97280985	522
>		523
-67.66624848	-29.86091569	524
-67.60914142	-29.97156063	525
>		526
-67.07709394	-29.97280985	527
-67.13895992	-29.83956003	528
>		529
-71.40258	-30.03774399	530
-70.94216412	-29.83804101	531
>		532
-70.94216412	-29.83804101	533
-70.94953938	-30.03171736	534
>		535
-67.84113887	-29.80737782	536
-67.66624848	-29.86091569	537
>		538
-67.20225359	-30.10718991	539
-67.30576014	-29.7752551	540
>		541
-68.50354896	-29.77357896	542
-68.34192704	-29.96472647	543
>		544
-67.13895992	-29.83956003	545
